cafe_id,afternoon,wait
1,0,4.998992602360566
1,1,2.2133943745268843
1,0,4.186672957677665
1,1,3.562439942745502
1,0,3.9956779471587853
1,1,2.89571764670578
1,0,3.7804581618632875
1,1,2.3844836772866813
1,0,3.8617981745852656
1,1,2.580000387467215
1,0,4.95558669909334
1,1,2.7084690141008383
1,0,4.734973848284421
1,1,2.318688548908751
1,0,4.1678620901009324
1,1,2.152129422451429
1,0,4.600614816766759
1,1,2.558301430282746
1,0,4.191916953509103
1,1,2.7312436121571517
1,0,3.6556710160447548
1,1,3.0420211769484986
1,0,3.934777208138074
1,1,2.8627867348993465
1,0,3.843933452313107
1,1,2.443912830184556
1,0,3.1727978573801003
1,1,2.4637548246998224
1,0,3.5877706965283993
1,1,2.474772910479656
1,0,4.121913757209213
1,1,2.5017988726255926
1,0,4.397476643630051
1,1,2.630789886683232
1,0,4.4307280624549
1,1,2.536931727071581
1,0,4.7107051138605245
1,1,2.6751510367710094
1,0,4.3185492633577285
1,1,2.3331634304712905
2,0,2.259706112017319
2,1,0.3875764089465934
2,0,2.4982625781184966
2,1,1.2466862192599208
2,0,2.348340267173695
2,1,0.9035728531014442
2,0,3.2041143527053495
2,1,1.0220116495299079
2,0,1.9726117511832681
2,1,0.997807627388998
2,0,2.473521596797829
2,1,0.7275220698210325
2,0,2.289014962665633
2,1,1.7090929480842252
2,0,2.5054708713607448
2,1,1.4505316994179784
2,0,1.8372061226672942
2,1,0.9886330306259299
2,0,1.9192202328832768
2,1,1.2290778306312613
2,0,1.0128045456047343
2,1,1.8263832962136293
2,0,2.348395312393566
2,1,1.3629692871817762
2,0,1.981575208474126
2,1,1.7056333626794364
2,0,1.8960653391288678
2,1,0.2759013308078683
2,0,1.6337428066048691
2,1,1.8988034678482029
2,0,1.534045549645572
2,1,2.069917352132828
2,0,3.3105690395778726
2,1,1.3285519081891168
2,0,1.335138192952911
2,1,1.6581931646020915
2,0,1.2330001092940206
2,1,1.4905876840251366
2,0,2.0367128118032496
2,1,1.157711755267865
3,0,5.1512391360745875
3,1,3.059968768887315
3,0,3.9068666231324993
3,1,1.7959208732987608
3,0,5.0954361186941854
3,1,2.7625881317956686
3,0,4.365794175624117
3,1,3.2390942301336376
3,0,3.8826056660683967
3,1,1.8968396901946774
3,0,5.240085452584976
3,1,1.6282821712543323
