ID,response,tasktype,item,group,taskident,gramm
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,37,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,36,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,32,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,8,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,15,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,33,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,31,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,21,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,5,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,7,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,37,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,40,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,27,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,1,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,17,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,31,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,25,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,24,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,11,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,20,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,28,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,14,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,28,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,2,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,38,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,10,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,4,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,39,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,34,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,29,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,20,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,35,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,6,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,27,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,12,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,38,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,0,sGJT,22,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,35,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,24,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,0,sGJT,12,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,0,sGJT,21,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,22,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,1,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,14,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,3,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,9,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,10,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,8,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,16,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,11,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,3,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,36,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,5,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,2,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,25,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,34,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,30,immersion,1,G
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,15,immersion,1,U
00265018-0164-4417-8664-6eedd7839004.txt,1,sGJT,16,immersion,1,G
